id,nome,via,civico,Latitude,Longitude,stelle,totalePostiLetto,TOTroom,2room,2room_1,3room,Email,Tel,Website,municipio
27,Hotel Domus Rea,Via Calatafimi,31,41.9049481,12.5003664,3,42,24,6,18,,info@domusmearoma.com,6486496,,1
28,Hotel Farini,Via Farini,52,41.8985425,12.4994893,1,12,7,3,3,1,risinter1@gmail.com,3333317821,,1
29,Hotel Felice,Via Tiburtina,30,41.8973728,12.5129983,2,33,18,3,15,,info@hotelfelice.com,64453347,www.hotelfelice.com,2
30,Hotel Fenicia,Via Milazzo,20,41.9021999,12.5045539,2,22,11,2,7,2,shikdargroup@pec.it,6490342,,1
31,Hotel Floris,Via Nazionale,251,41.9018069,12.4945889,3,59,26,2,16,7,info@florishotel.it,64824824,www.florishotel.it,1
32,Hotel Gabriele,Via Principe Amedeo,76,41.898959,12.5002938,1,17,8,2,3,3,http://www.hotelgabrieleroma.com/,64884434,http://www.hotelgabrieleroma.com/,1
33,Hotel Grantorino Suite,Via Torino,150,41.8999745,12.4968908,1,15,8,2,5,1,,,,1
34,Hotel Aphrodite,Via Marsala,90,41.9013867,12.5041419,4,117,62,16,38,7,info@hotelaphrodite.com,688376120,www.hotelaphrodite.com,1
35,Hotel Dina,Via Principe Amedeo,62,41.8992162,12.499877,3,69,30,3,18,6,info@hoteldina.it,64818885,www.hoteldina.it,1
36,Hotel King,Via Sistina,131,41.9041127,12.4870591,3,130,72,21,44,7,info@hotelking.net,64880878,http://www.hotelkingroma.com,1
37,Hotel La Reggia Dei Principi,Via del Viminale,38,41.9002489,12.4959438,2,13,7,1,6,,info@residenzadeiprincipi.com,3203665381,www.residenzadeiprincipi.com,1
38,Hotel Magica Luna,Via Calabria,17,41.9099516,12.4973164,1,19,10,1,9,,m.marinelli@magicalunahotel.com,694326569,,1
39,Marcella Royal Hotel,Via Flavia,104,41.9078317,12.4980911,4,162,87,23,55,7,direzione@mercallaroyalhotel.com,642014591,https://www.marcellaroyalhotel.com,1
40,Hotel Millerose,Via Daniele Manin,58,41.8989442,12.4993101,1,20,10,1,8,1,,,,1
41,Hotel Monteverde e Austria,Via di Monte Verde,86,41.8712506,12.4492112,3,55,28,1,27,,info@hotelmonteverderoma.it,658230000,,12
42,Hotel Nazionale,Piazza di Monte Citorio,131,41.9010178,12.4778738,4,293,103,3,40,30,info@hotelnazionale.it,6695001,,1
43,Hotel Ottocento,Via dei Cappuccini,17,41.9041721,12.4875,4,60,33,7,25,1,info@albergottocento.it,642011900,,1
44,Hotel Palazzo Caruso,Piazza Barberini,5,41.9037593,12.4880986,4,24,12,,12,,info@hotelpalazzocaruso.it,39066833379,,1
45,Hotel Ponte Sisto,Via dei Pettinari,64,41.8932457,12.4718032,4,245,103,2,68,25,info@hotelpontesisto.it,66863100,www.hotelpontesisto.it,1
46,Hotel Relais Manzoni,Via Carlo Emanuele I,14,41.8910181,12.5096265,3,14,11,8,3,,info@relaismanzoni.it,685301113,www.relaismanzoni.it,1
47,Hotel Roma Palace,Via Principe Amedeo,67,41.8988202,12.5000552,1,22,10,1,6,3,romapalace67@gmail.com,3896494203,,1
48,Hotel Saldel Giubileo,Via Quintino Sella,15,41.9070668,12.4966683,2,21,13,5,8,,sandelsrls@gmail.com,3939985438,,1
49,Hotel san valentino,Via Ezio,55,41.9105885,12.4654565,3,61,38,15,23,,aldocirulli@gmail.com,3939249008,,1
50,Hotel Scott House,Via Gioberti,30,41.8988934,12.500825,3,88,34,6,3,24,amministrazionesharkei@gmail.com,688373410,,1
51,Hotel Stadler Due,Via Magenta,13,41.9033759,12.5024959,1,21,10,2,5,3,hotelstadler2@gmail.com,64466785,,1
52,Alex Square Hotel,Via Palestro,88,41.9033809,12.5065237,3,30,15,1,13,1,hotelalex.sq88@gmail.com,3248321035,,1
53,Hotel Alexis,Via Gaeta,29,41.9045935,12.5004452,1,19,12,5,7,,,,,1
54,All Time Relais & Sport Hotel,Via Domenico Jachino,181,41.8093745,12.4467402,4,129,68,7,61,,,,,9
55,Hotel Alpi,Via Castelfidardo,84,41.9051851,12.5026749,4,99,48,4,37,7,,,,1
56,Hotel Amalfi,Via Merulana,278,41.8963462,12.4992317,3,42,22,6,12,4,,,,1
57,Amico Hotel,Piazzale Prenestino,15,41.8913857,12.5268446,2,66,26,3,6,17,amicohotelroma@gmail.com,67022930,www.hotelfriend.it,5
58,Hotel Anahi,Via Della Penna,65,41.9094851,12.474671,2,25,17,9,8,,,,,1
59,Hotel Angel,Via Marianna Dionigi,43,41.9059535,12.4715743,2,24,11,1,7,3,,,,1
60,Hotel Antica Locanda Palmieri,Via di Grotta Perfetta,551,41.8371151,12.5104219,3,33,25,17,8,,,,,8
61,Hotel Antico Palazzo Rospigliosi,Via Liberiana,21,41.8973989,12.4976494,4,85,39,6,21,11,,,,1
62,Aparthotel Colombo Roma,Via Cristoforo Colombo,112,41.8657326,12.4962137,4,273,105,,48,55,aparthotelcolomboroma@bzarhotel.it,698376099,,8
63,Apollo Boutique Hotel,Via Fornovo,2,41.9124328,12.4687729,4,25,14,3,11,,apolloboutiquehotel@gmail.com,639745319,www.apolloboutiquehotel.com,1
64,Appia Park Hotel,Via Appia Nuova,934,41.8391045,12.5507334,4,120,60,,60,,,,,7
65,Hotel Ara Pacis,Via Vittoria Colonna,11,41.9051874,12.4724411,3,71,37,15,12,8,,,,1
66,Hotel Arco di Traventino,Via Valgia Silvilla,71,41.8681409,12.5357858,2,25,19,13,6,,,,,7
67,Ardeatina Park Hotel,Via Vittore Ghiliani,143,41.7916059,12.5299649,4,208,102,,98,4,,,,9
68,Hotel Argentina,Via Cavour,47,41.8995596,12.4981896,3,25,15,6,8,1,,,,1
69,Hotel Ariston,Via Filippo Turati,16,41.8989672,12.5012378,4,167,82,10,60,11,robertodirienzo7@gmail.com,3464993570,,1
70,Hotel Art Noba,Via Nomentana,543,41.9315429,12.5274076,3,137,72,22,38,9,info@arthotelnoba.com,68622531,,3
71,Hotel Artemide ,Via Nazionale,22,41.9008196,12.4936532,4,198,91,4,67,20,,,,1
72,Hotel Artis,Via Roberto Fancelli,3,41.86657,12.57572,4,140,70,,70,,hoteldiromasrl@gmail.com,623267789,www.hotelartisroma.com,7
73,Hotel Artorius,Via del Boschetto,13,41.8971481,12.490305,2,20,10,2,6,2,,,,1
74,Hotel Assisi,Via dei Mille,27 A,41.9022693,12.5049111,3,35,18,4,11,3,,,,1
75,Hotel Ateneo Garden Palace,Piazza dei Siculi,9,41.898969,12.511435,4,111,55,10,39,2,,,,2
76,Hotel Athena,Via Ercole Pasquali,3,41.9080365,12.5194944,3,52,27,4,21,2,,,,2
77,Hotel Atlante Star,Via Giovanni Vitelleschi,34,41.9048927,12.4619055,4,101,59,25,26,8,,,,1
78,Hotel Aurora Garden,Via Emanuele Ciaceri,12,41.9468318,12.5697401,3,64,43,22,21,,info@hotelauroragarden.net,64116673,,4
79,Hotel Barberini,Via Rasella,3 5,41.9026231,12.4891402,4,73,35,5,26,,,,,1
80,Barocco Hotel,Via della Purificazione,4,41.9039253,12.488065,4,78,37,7,23,3,info@hotelbarocco.com,64872001,https://www.hotelbarocco.com,1
81,Basilica Hotel,Via Cavour,85 A,41.8978618,12.4963083,3,118,54,10,24,20,info@basilicahotel.it,647824414,,1
82,Hotel Beauty,Via Napoleone III,35,41.8968393,12.5017118,1,13,8,3,5,,,,,1
83,Hotel Bel Poggio,Via di Settebagni,733,41.9811866,12.5380681,2,25,13,1,12,,,,,3
84,Hotel Bella Cenci A,Via del Boschetto della Bella Cenci,32,41.75369,12.54024,2,24,14,6,6,2,bellacenci@yahoo.it,67136163,,9
85,Hotel Blla Cenci B,Via del Boschetto della Bella Cenci,34,41.7532389,12.5407937,2,24,11,,9,2,bellacenci@yahoo.it,67136163,,9
86,Hotel Bellavista,Piazzale Magellano,16,41.7255491,12.2900929,3,24,13,2,11,,info@hotelostia.it,65624393,www.rivabellahotels.it,10
87,Hotel Benjamin,Via Boezio,31,41.9064881,12.4633912,1,24,15,6,9,,,,,1
88,Hotel Best Roma,Via di Porta Maggiore,49,41.8927945,12.5115022,4,44,27,12,13,2,info@hotelbestroma.com,677076928,,1
89,Hotel bixio,Via Bixio,46,41.8934102,12.5085419,1,25,12,,11,1,,,,1
90,Black Hotel,Via Raffaello Sardiello,18,41.8887857,12.4031871,4,133,68,5,61,2,info@blackhotel.it,666410148,www.blackhotel.it,13
91,Hotel Bloom Roma,Via Giuseppe Missori,19,41.8955538,12.4580961,3,58,27,3,18,5,booking@bloomhotelroma.com,66635201,www.bloomhotelroma.com,13
92,Hotel Bolognese,Via Palestro,15,41.9069939,12.5014607,2,25,14,5,7,2,,,,1
93,Borghese Contemporary Hotel,Largo della Fontanella di Borghese,84,41.9035775,12.4767865,4,49,23,3,16,2,info@borghesecontemporaryhotel.com,648904040,www.borghesecontemporaryhotel.com,1
94,Hotel Bramante,Vicolo delle Palline,25,41.9031913,12.4603732,2,45,32,16,8,4,,,,1
95,Hotel Buenos Aires,Via Clitunno,9,41.9211892,12.5022224,3,97,53,12,38,3,,,,2
96,C10 Boutique Hotel,Piazza Benedetto Cairoli,9,41.8940657,12.4745814,3,14,7,,7,,info@thespanishsuite.com,63225064,,1
97,Hotel Cambridge ,Via Palestro,87,41.903402,12.505986,3,86,45,10,29,6,,,,1
98,Hotel Camelia,Via Goito,36,41.9058301,12.5008611,3,73,40,10,27,3,,,,1
99,Cannella Hotel,Via Salaria,957,41.9657039,12.5060084,1,18,14,10,4,,everynightsrl@legalmail.it,668588316,,3
100,Hotel Canova,Via Urbana,9,41.8975585,12.4954281,3,42,21,2,18,,,,,1
101,Hotel Capri,Via Magenta,13,41.9033759,12.5024959,1,14,8,3,4,1,hotelcapriroma@hotmail.com,6491367,,1
102,Hotel Caracciolo,Via Cairoli,86,41.8952113,12.508598,3,25,14,3,11,,,,,1
103,Hotel Cardinal St. Peter,Via Leone Dehon,71,41.8914586,12.4362222,4,592,137,5,112,13,info@cardinahotelrome.com,6322252,www.cardinalhotelrome,13
104,Hotel Carlo Alberto,Via Carlo Alberto,43,41.8960966,12.5012367,1,14,11,8,3,,,,,1
105,Csa Couper Hotel,Via dell'Umiltà,46,41.899094,12.481367,3,29,17,7,8,2,amministrazione@thecouper.it,3513049433,,1
106,Hotel Casa Tra Noi,Via di Monte del Gallo,113,41.894092,12.4526123,3,406,201,36,133,24,,,,13
107,Hotel Casarola,Via di Trigoria,57,41.7488727,12.4665977,1,21,15,9,6,,,,,9
108,Hotel Castello della Castelluccia,Via Carlo Cavina,,41.9807747,12.3963329,4,56,24,2,13,8,eventi@lacastelluccia.com,630207041,,14
109,Hotel Cavour,Via Cavour,47,41.8995596,12.4981896,2,80,37,9,19,4,,,,1
110,CC Palace Hotel,Via delle Quattro Fontane,37,41.9009346,12.4927171,4,69,37,5,32,,centralcityroma@gmail.com,3335369120,,1
111,Central Rome Hotel 6,Via Giovanni Amendola,77,41.8996164,12.5002273,1,25,12,4,4,3,malinghisrls.hotel@gmail.com,3923520981,,1
112,Hotel Cervia,Via Palestro,55,41.904487,12.5045712,1,81,35,8,13,9,,,,1
113,Hotel Champagne Garden,Via Vittorio Bachelet,3,41.9039754,12.504037,4,35,19,3,16,,,,,1
114,Hotel Champagne Palace,Via Principe Amedeo,82,41.8987812,12.5007886,4,153,78,9,64,4,,,,1
115,Charme spagna boutique hotel,Via della Mercede,37,41.9033557,12.4824533,3,23,11,2,7,1,cdfhotellerie@legalmail.it,3355370423,,1
116,Hotel Charter,Via Gioberti,30,41.8988934,12.500825,2,25,14,3,11,,,,,1
117,Chic & Town Hotel,Via dei Due Macelli,31,41.9034032,12.4844812,1,19,10,2,7,1,chicandtown@gmail.com,669190491,www.chictown.it,1
118,Hotel Cilicia,Via Cilicia,5,41.8735805,12.5060249,3,112,62,14,47,,info@hotelcilicia.com,67005554,https://www.hotelcilicia.com,7
119,Hotel Cinemusic,Via Tuscolana,128,41.881257,12.5185548,4,49,29,10,18,1,,,,7
120,Hotel Cisterna Trastevere,Via della Cisterna,7,41.88857,12.4714748,2,43,19,1,12,6,,,,1
121,Hotel Clodio,Via di Santa Lucia,10,41.9198539,12.4567523,4,196,114,32,82,,info@hotelclodio.it,63721122,www.hotelclodio.it,1
122,Cloud Nine Hotel,Via Cola di Rienzo,243,41.9074132,12.4622053,1,17,11,5,6,,info@cloud9rom.com,3920283595,www.cloud9roma.com,1
123,Colonna Palace Hotel,Piazza di Monte Citorio,12,41.9006398,12.4790291,4,182,104,43,45,15,colonnapalace@itihotels.it,6675191,,1
124,Hotel Colonne D'ercole,Via Ostiense,1411,41.795953,12.4043661,1,14,12,10,2,,,,,9
125,Hotel Colors,Via Boezio,31,41.9064881,12.4633912,1,12,8,4,4,,,,,1
126,Hotel Colosseum,Via Sforza,8,41.8960779,12.4960262,3,97,46,3,35,8,,,,1
127,Hotel Colombia,Via del Viminale,15,41.9008676,12.4965965,3,98,45,2,33,10,,,,1
128,Hotel Columbus,Via della Conciliazione,33,41.9021177,12.4609569,4,186,92,23,44,25,,,,1
129,Hotel Consul,Via Aurelia,727,41.8918887,12.414046,3,126,59,21,13,21,,,,13
130,Hotel Contilia,Via Principe Amedeo,79,41.8983611,12.5007886,3,132,61,7,37,17,,,,1
131,Coronari Palace Hotel,Via dei Tre Archi,13,41.9005404,12.4718913,3,31,16,2,13,1,valerioleopoldoceccarelli@gmail.com,3397290595,,1
132,Hotel Cortina,Via Nazionale,18,41.9009454,12.4937967,3,25,14,5,7,2,,,,1
133,Hotel Cressy,Via Volturno,27,41.9046237,12.4994027,1,25,10,2,2,5,,,,1
134,Hotel Croce di Malta,Via Borgognona,28,41.9047736,12.4812964,2,42,25,10,14,,,,,1
135,Crosti Hotel,Via Castelfidardo,54,41.9062733,12.5014159,3,24,14,4,10,,,,,1
136,d-o-m Hotel,Via Giulia,131,41.8974309,12.467203,5,44,23,2,21,,info@domhotelroma.com,66832144,,1
137,Daniel's Hotel,Via Frattina,107,41.9041327,12.4806287,4,25,14,3,11,,info@danielshotel.it,669380203,,1
138,Hotel Dei Consoli,Via Varrone,2,41.9064732,12.4601419,4,59,28,2,21,5,,,,1
139,Hotel Dei Mellini,Via Muzio Clementi,81,41.9073804,12.4724561,4,178,80,4,58,14,,,,1
140,Hotel Dei Mille,Via dei Mille,7 B,41.9036537,12.5032233,3,71,41,15,22,4,info@hoteldeimille.it,6491313,,1
141,Hotel Dei Quiriti,Via Germanico,198,41.9091417,12.463005,1,16,10,4,6,,quiriti@tiscali.it,636005389,,1
142,Hotel Delle Regioni,Via Zucchelli,1,41.9043511,12.4865051,3,21,11,1,10,,,,,1
143,Hotel Delle Rose,Via Principe Amedeo,62,41.8992162,12.499877,1,16,9,2,7,,,,,1
144,Dem Hotel,Via Venezia,15,41.8999622,12.4930154,2,13,8,3,5,,alfi1971@hotmail.it,3389196920,,1
145,Hotel Demetra Capitolina,Via Principe Amedeo,58,41.8993039,12.4998442,2,25,13,1,12,,,,,1
146,Des Epoques Hotel,Via Nomentana,29,41.9103506,12.5024447,3,32,22,12,10,,info@desepoqueshotel.com,644238361,www.desepoqueshotel.com,2
147,Hotel Desiderio,Via Della Pineta Sacchetti,225,41.9296007,12.4270653,3,50,24,,23,,,,,14
148,divina luxury Hotel s,Via Aurora,29,41.9071468,12.4878389,4,73,31,,21,9,fernando@lacertosa.it,3389615681,,1
149,Hotel Doge,Via dei Due Macelli,106,41.9034057,12.4851532,2,25,12,1,9,2,,,,1
150,Hotel Dolomiti,Via San Martino della Battaglia,11,41.9053853,12.5045229,3,48,22,4,12,4,,,,1
151,Domidea Hotel,Via Raffaele Costi,17,41.9089752,12.5896853,4,216,85,9,48,1,info@hoteldomidea.com,697659073,,5
152,Hotel Domus Aurea ,Via Volturno,32,41.904421,12.4999941,3,87,49,11,38,,,,,1
153,Hotel Domus Aventina,Via di Santa Prisca,11 B,41.8814947,12.4841467,3,54,26,4,16,6,clarionimanuel@yahoo.it,3662478279,,1
154,Domus Colosseo Hotel,Via Marco Aurelio,37,41.8880798,12.4955615,3,24,11,1,8,1,alexxandraferrara@gmail.com,3273827771,,1
155,Doria Palace Boutique Hotel,Via Merulana,4,41.8966123,12.499509,4,24,14,4,10,,info@doriapalace.com,64465888,http://www.doriapalace.com/it/,1
156,Hotel Duca D'alba,Via Leonina,14,41.8947796,12.4918283,4,67,31,5,18,6,info@hotelducadalba.com,6484471,,1
157,Hotel Ducale,Via Achille Grandi,2,41.8924238,12.5129598,2,11,7,3,4,,htlducale@hotmail.com,670300026,www.hotelducalerome.com,1
158,Eccelso Hotel,Via Catone,3,41.9067928,12.4591874,3,23,12,1,11,,info@eccelsohotel.com,639751626,,1
159,Hotel El Patio,Via dell'Airone,8,41.8661914,12.5956976,1,14,7,1,5,1,,,,6
160,Hotel Embassy,Via Antonio Salandra,6,41.9056233,12.4954563,3,82,40,9,18,11,,,,1
161,Hotel Emmaus,Via delle Fornaci,23,41.8993047,12.4563925,3,76,28,3,6,16,,,,13
162,Hotel Emona Aquaeductus,Via Statilia,23,41.8909559,12.5125279,4,52,24,3,15,5,,,,1
163,Hotel Ergife Palace,Via Aurelia,619,41.8949988,12.4177209,4,999,705,415,289,,info@ergifepalacehotel.com,66644,,13
164,Esposizione Boutique Hotel,Via Nazionale,66,41.899339,12.491388,3,17,8,2,3,3,iolematilde@gmail.com,3332461025,,1
165,Esposizione Palace Hotel,Via Nazionale,66,41.899339,12.491388,1,19,9,1,6,2,iolematilde@gmail.com,3332461025,,1
166,Hotel Esquilino,Piazza dell'Esquilino,29,41.8978231,12.4969563,2,25,12,,11,1,,,,1
167,Hotel Euro Quiris,Via dei Mille,64,41.9021198,12.5054931,1,17,9,3,4,2,,,,1
168,Hotel Eurogarden,Salita di Castel Giubileo,197,41.989812,12.5066357,3,116,48,,48,,info@eurogarden.net,68852751,www.eurogarden.net,3
169,Hotel Eurom,Via Giovanni Gutenberg,39,41.7708875,12.48475,3,24,22,20,2,,euromhotel@tiscali.it,65061735,,9
170,Hotel Europergola,Vicolo del Colle della Strega,32,41.8161111,12.4911111,2,24,18,12,6,,eurpergolasrl@yahoo.it,65010831,,9
171,Hotel Everest,Via Cavour,47,41.8995596,12.4981896,2,23,10,3,3,2,,,,1
172,Hotel Everest Inn Rome Srl,Via Nazionale,243,41.901484,12.4940831,2,24,13,5,5,3,info@everestinnrome.it,645471449,www.everestinnrome.it,1
173,Hotel Excel Roma Montemario,Via degli Scolopi,31,41.9326304,12.4336466,4,204,111,35,63,9,info.excelmontemario@laminhotels.com,635058043,www.laminhotels.com,14
174,F.D.S. Hotel,Via Torino,123,41.9016315,12.4955914,2,23,13,5,6,2,info@dharmahotel.it,64814085,,1
175,Favilla Hotel Di Charme,Via Salaria,1497,42.0095405,12.5191335,3,47,26,5,21,,info@favillahotel.com,681152875,www.favillahotel.com,3
176,Hotel Ferrarese,Via Principe Amedeo,76,41.898959,12.5002938,2,63,24,2,9,9,ad.roma2021@gmail.com,64743410,,1
177,Hotel Fiorenza,Via dei Mille,64,41.9021198,12.5054931,1,25,12,1,9,2,,,,1
178,Hotel Firenze,Via dei Due Macelli,106,41.9034057,12.4851532,2,25,16,7,9,,,,,1
179,Flower Garden Hotel,Via del Viminale,7,41.9010816,12.4968819,3,62,28,3,19,4,flowergarden@blueglobehotels.com,647824096,,1
180,Fly Deco' Hotel,Lungomare Paolo Toscanelli,52 A-B,41.7284031,12.2810861,4,59,31,4,26,1,manager@flyhotelrome.com,699588099,www.flyhotelrome.com,10
181,Hotel Fontana,Piazza di Trevi,96,41.9006339,12.4832717,3,52,25,4,15,6,,,,1
182,Hotel Fortyseven,Via Luigi Petroselli,47,41.8897311,12.4813454,4,136,60,,46,12,,,,1
183,Hotel Forum,Via Tor de' Conti,25,41.8939108,12.4876358,4,164,78,20,34,20,,,,1
184,Hotel Fragrance St. Peter,Via di Monte del Gallo,36,41.8966448,12.451627,3,62,32,7,20,5,booking@fragrancestpeter.it,687725300,www.fragrancestpeter.it,13
185,Hotel Franklin,Via Rodi,29,41.9127213,12.4532572,3,40,22,4,18,,melodysrl2017@pec.it,639746236,,1
186,G55 Design Hotel,Via del Gesù,55,41.8961808,12.4787721,3,24,10,,7,2,info@g55designhotel.com,63225064,,1
187,Hotel Galileo,Via Palestro,33,41.9058213,12.5030431,3,89,39,2,24,13,,,,1
188,Gallery Hotel,Via Barberini,50,41.9045684,12.4919999,1,17,8,,7,1,info@galleryhotel.it,3346844363,,1
189,Hotel Galli,Via Milazzo,20,41.9021999,12.5045539,2,25,12,2,8,1,,,,1
190,Gemelli Hotel,Via Della Pineta Sacchetti,229 F,41.9303024,12.426371,3,39,22,5,17,,info@gemellihotel.com,635500452,www.gemellihotel.com,14
191,Hotel Geo,Circonvallazione Casilina,41,41.8901763,12.5279793,3,38,20,5,12,3,ammgeohotel@gmail.com,627801029,,5
192,Hotel Giamaica,Via Magenta,13,41.9033759,12.5024959,1,17,9,2,6,1,,,,1
193,Hotel Giglio Dell'opera,Via Principe Amedeo,14,41.9001455,12.4984589,3,151,61,6,25,26,hotelgigliodelloperapalacesrl@gmail.com,6484401,www.gigliodellopera.it,1
194,Ginevra Palace Hotel,Via San Giovanni della Croce,35,41.8998764,12.4087091,3,99,66,33,33,,amministrazione@ginevrapalacehotel.it,683393163,,13
195,Gioberti Art Hotel,Via Gioberti,23,41.8994403,12.500933,4,145,68,13,37,14,,,,1
196,Hotel Giorgina,Via Principe Amedeo,67,41.8988202,12.5000552,2,95,36,5,16,6,,,,1
197,Hotel Giugiu,Via del Viminale,8,41.900698,12.496765,1,24,10,1,5,3,,,,1
198,Hotel Giulio Cesare,Via degli Scipioni,287,41.9115739,12.4695646,4,145,76,16,51,9,,,,1
199,Giuturna Boutique Hotel,Largo del Tritone,153,41.9024229,12.4855655,3,18,9,,9,,amministrazione@giuturnaboutiquehotel.com,662289629,,1
200,Hotel Gloria,Via Gioberti,30,41.8988934,12.500825,1,17,10,3,7,,,,,1
201,Hotel Golden,Via Marche,84,41.9092964,12.4899706,2,24,13,4,7,2,,,,1
202,Gp Hotel,Via Giorgio Perlasca,50,41.9003614,12.5702781,4,203,86,,55,31,manager@exromast.com,642986080,,5
203,Hotel Grand Colony,Via Monterosi,18,41.9490538,12.472563,3,114,72,30,42,,hotelcolonyproperty@gmail.com,636301843,,15
204,Hotel Grand Tiberio,Via Lattanzio,51,41.9127428,12.4392671,4,189,85,6,54,25,,,,14
205,Grand Hotel Via Veneto,Via Vittorio Veneto,155,41.908473,12.4897674,5,210,121,32,89,,reservations@ghvv.it,3906487881,www.ghvv.it,1
206,Green Hotel,Viale Regina Margherita,255,41.9116679,12.5086069,2,15,8,3,3,2,tarste62@yahoo.it,644202376,,2
207,Hotel Grifo,Via del Boschetto,144,41.8960524,12.4907955,2,29,19,11,6,2,angelo@hotelgrifo.com,3663642651,,1
208,Harry's Bar Trevi Hotel & Restaurant,Via di San Vincenzo,10,41.9002976,12.4838988,5,25,13,1,12,,sm.harrystrevi@cremonini.com,669940704,https://hotelharrysbartrevi.com/,1
209,Hearth Hotel,Via Santamaura,2,41.9074828,12.4543373,3,43,22,4,16,1,,,,1
210,Hotel Hiberia,Via Ventiquattro Maggio,7,41.8971916,12.486874,3,100,40,8,18,6,,,,1
211,Hotel Histoire Romantique,Via Principe Amedeo,77,41.8983611,12.5007886,3,24,14,4,10,,,,,1
212,Hotel Hollywood Stella Elsa,Via Principe Amedeo,79,41.8983611,12.5007886,2,25,17,9,8,,,,,1
213,Hotel 325 Tor Vergata,Via di Tor Vergata,325,41.8360305,12.6218453,3,45,20,,16,3,,,,7
214,Hotel 4 Coronati,Via di San Giovanni in Laterano,262,41.8874569,12.5019983,2,18,9,1,7,1,hotel4coronati@gmail.com,690285398,www.4coronati.it,1
215,Hotel 53,Via di San Basilio,53,41.9048702,12.489801,3,25,14,3,11,,info@lhotel53.com,642014708,www.lhotel53.com,1
216,Hotel Acropoli,Via Principe Amedeo,63,41.8988201,12.5000537,2,132,52,14,11,12,,,,1
217,Hotel Ad Suites Nazionale,Via Nazionale,251,41.9018069,12.4945889,3,18,8,1,4,3,info@ad-suites.com,686357604,,1
218,Hotel Ad Suites Nazionale,Via Nazionale,251,41.9018069,12.4945889,3,18,8,1,4,3,info@ad-suites.com,686357604,,1
219,Hotel Agora',Via Marsala,80,41.9015178,12.5039717,3,90,22,1,20,1,info@hotelagoraroma.com,644361278,http://hotelagoraroma.com,1
