id,nome,via,civico,Latitude,Longitude,stelle,totalePostiLetto,TOTroom,2room,2room_1,3room,Email,Tel,Website,municipio,numero_rom,id_municip
454,Hotel Relais Villa Coppede'.,,"1",41.919876,12.5037457,4,24,11,2,6,2,amministrazione@artcityhotel.it,662205529,,2,II,2
462,Hotel Roma San Lorenzo - Termini,,"177",41.8989179,12.5188443,3,107,67,29,36,2,rm.sanlorenzo@hotelbb.com,64468634,https://www.hotel-bb.com/it,2,II,2
468,Hotel Rosa Italia,,"37",41.9081317,12.5145424,2,15,13,11,2,,rosaitaliasel@pec.it,3314314807,,2,II,2
471,Hotel San Giusto,,"58",41.9143182,12.5214227,3,124,67,18,41,8,sangiusto@garibaldihotels.it,644244598,,2,II,2
495,Hotel The H'all Tailor Suite,,"23",41.9137109,12.4730133,5,31,14,,11,3,info@thehallroma.com,632110128,www.thehallroma.com,2,II,2
515,Hotel Villa Grazioli,,"241",41.9216645,12.5005461,4,45,30,15,15,,amministrazione@villagrazioli.it,68416587,www.villagrazioli.it,2,II,2
517,Hotel Villa Morgagni,,"25",41.9101061,12.5110751,4,60,33,6,27,,info@villamorgagni.it,644202190,www.villamorgagni.it,2,II,2
519,Hotel Villa Pirandello,,15 B,41.9164443,12.5146115,3,20,14,8,6,,info@villapirandello.it,64403880,,2,II,2
530,Hotel Ibiza,,"14",41.910669,12.515788,2,16,8,,8,,,,,2,II,2
535,J Maluni City Hotel,,"103",41.90889,12.52129,4,83,42,1,41,,info@jmalunicityhotel.it,640085072,http://jmalunicityhotel.it,2,II,2
542,Hotel Kriss,,"37",41.9081317,12.5145424,2,25,13,1,12,,,,,2,II,2
549,Hotel Laurentia,,"63",41.8972446,12.5136743,3,82,41,4,34,2,,,,2,II,2
563,Mangili Garden Hotel,,"31",41.9203945,12.4812949,3,23,11,,10,1,gardenmangilihotel@gmail.com,645597297,www.hotelgardenroma.it,2,II,2
582,Mf Hotel,,"44",41.9129162,12.4990493,3,22,15,8,7,,info@mfhotel.it,685357656,www.mfhotel.it,2,II,2
616,Osimar Hotel,,"87",41.9202895,12.5252542,3,50,27,5,21,1,,,,2,II,2
625,Palm Gallery Hotel,,15 D,41.9164778,12.5077708,3,20,9,,7,2,info@palmgalleryhotel.com,390665000000,www.palmgalleryhotel.com,2,II,2
653,Hotel Regina Margherita,,"1",41.9107867,12.5134024,3,24,21,18,3,,antosrls2020@gmail.com,3355306873,,2,II,2
661,Hotel River Palace,,"31",41.9132267,12.475176,4,112,59,8,49,2,amministrazione@riverpalacehotel.it,6830011,,2,II,2
662,Hotel Rivoli,,"7",41.9227066,12.4831024,4,128,59,2,45,12,,,,2,II,2
665,Roma Room Hotel,,"41",41.9105846,12.5125279,3,51,29,8,20,1,artromahotel41@gmail.com,644260772,,2,II,2
671,Rome Garden Hotel,,"28",41.9116422,12.5051008,3,71,34,7,18,8,info@romegarden.com,644252049,,2,II,2
699,Hotel Silva,,20 A,41.9150897,12.5144322,3,23,13,3,10,,,,,2,II,2
741,Hotel Villa Duse,,"1",41.9293439,12.4924778,4,30,15,2,11,2,,,,2,II,2
743,Hotel Villa Linneo,,"1",41.919566,12.4826445,3,21,9,,6,3,,,,2,II,2
